display_name,official_iau_name,simbad_main_id,gaia_dr3_source_id,hip_id,hd_id,bayer_designation,flamsteed_designation,all_identifiers,ra_deg,dec_deg,parallax_mas,parallax_error_mas,parallax_over_error,proper_motion_ra_mas_yr,proper_motion_dec_mas_yr,radial_velocity_km_s,distance_pc,distance_ly,x_ly,y_ly,z_ly,r_ly,phi_deg,theta_deg,apparent_magnitude,spectral_type,stellar_category,astrometry_source,distance_quality_flag,selection_reason,fame_score,notes
HD 175224B,,HD 175224B,6637963425890391552,,175224B,,,** COO  228B | [RHG95]  2979 | CCDM J18575-5600B | CD-56  7546B | CNS5 4715 | CPD-56  9037B | CSI-56  9037 43 | Gaia DR2 6637963425890391552 | Gaia DR3 6637963425890391552 | GEN# +1.00175224B | GJ 737 B | HD 175224B | IDS 18492-5606 B | LTT  7510 | NLTT 47186 | Smethells 25 | TIC 1817023751 | TYC 8763-1480-2 | WDS J18575-5600B | WEB 16121,284.3773305,-55.99312534,81.020541,0.027753,2919.382,35.545681,-451.511289,-18.5931,12.342549,40.256011,5.590594,-21.809747,-33.371044,40.256011,284.3773305,145.99312534,10.13,K7Ve,other_main_sequence,Gaia DR3,reliable_gaia_parallax,nearby_<=50ly,0,Gaia RUWE=1.323
HD 219669BC,,NAME HD 219669BC,2817878878416646912,,,,,** HU  497BC | ADS 16648 BC | CCDM J23175+1652BC | Gaia DR2 2817878878416646912 | Gaia DR3 2817878878416646912 | NAME HD 219669BC | TYC 1713-1069-2 | WDS J23175+1652BC,349.37997012,16.86073492,,,,7.9,-21.9,-3.83,,,,,,,349.37997012,73.13926508,10.13,,other,SIMBAD,uncertain_or_missing_distance,simbad_named_star,0,"Gaia astrometry rejected: low SNR, RUWE > 1.4, duplicate, or non-positive parallax"
HIP 51007,,BD-09  3070,3767878708888402816,51007,,,,2MASS J10251088-1013434 | [RHG95]  1630 | BD-09  3070 | Cl* Melotte   25    EGG      37 | CNS5 2552 | G 162-52 | Gaia DR1 3767878704592802176 | Gaia DR2 3767878708888402816 | Gaia DR3 3767878708888402816 | GCRV 26267 | GEN# -0.00903070 | GES J10251021-1013416 | GJ 390 | HIC  51007 | HIP 51007 | JP11   277 | Karmn J10251-102 | L  824-1 | LFT  713 | LHS  2259 | LPM 347 | LTT  3825 | MCC 579 | NLTT 24293 | PLX 2443 | PLX 2443.00 | PM 10227-0959 | PM J10251-1013 | PPM 716545 | StKM 2-636 | TIC 36879392 | TYC 5494-139-1 | UCAC4 399-048321 | WISEA J102510.34-101341.8,156.29202407,-10.22815208,78.174578,0.025267,3093.922,-693.181493,121.469457,20.861,12.791882,41.72154,-37.593454,16.508615,-7.408423,41.72154,156.29202407,100.22815208,10.139,M1V,red_dwarf,Gaia DR3,reliable_gaia_parallax,nearby_<=50ly,0,Gaia RUWE=1.184
BD-14 1171BC,,NAME BD-14 1171BC,,,,,,** HLD   76BC | 2MASS J05340402-1422046 | NAME BD-14 1171BC | UCAC4 379-008536 | WDS J05341-1422BC | WISE J053404.03-142205.0,83.516763,-14.367952,,,,,,,,,,,,,83.516763,104.367952,10.148,,other,SIMBAD,uncertain_or_missing_distance,simbad_named_star,0,
HIP 72944,,BD+16  2708,1187851653287128576,72944,,,,** FRT    1A | 1RXS J145429.2+160610 | 2E  3349 | 2E 1452.1+1618 | 2MASS J14542923+1606039 | [GKL99] 308 | [HFE83] 1058 | [RHG95]  2358 | [ZEH2003] RX J1454.4+1606  1 | ASCC  871349 | BD+16  2708 | CCDM J14545+1606A | CNS5 3688 | DO 15122 | G 136-28 | Gaia DR2 1187851653287128576 | Gaia DR3 1187851653287128576 | GCRV 65111 | GEN# +0.01602708 | GJ 569 | GJ 569 A | GSC 01478-00495 | HIC  72944 | HIP 72944 | Karmn J14544+161ABC | LSPM J1454+1606 | MCC 157 | NLTT 38745 | PLX 3372 | PLX 3372.00 | PM J14544+1606 | RBS  1442 | RX J1454.4+1606 | StKM 2-1089 | TIC 258105174 | TYC 1478-495-1 | UCAC2  37549385 | UCAC4 531-055950 | USNO-B1.0 1061-00230223 | V* CE Boo | WDS J14545+1606A | WEB 12519 | WISEA J145429.44+160603.0,223.6231086,16.10053096,100.52427,0.021007,4785.344,279.117449,-117.908181,-7.9659,9.947846,32.445535,-22.565873,-21.506551,8.997911,32.445535,223.6231086,73.89946904,10.15,M3V,red_dwarf,Gaia DR3,reliable_gaia_parallax,nearby_<=50ly,0,Gaia RUWE=1.193
Eyes,,NGC  4438,3907985352447565696,,,,,2E  2718 | 2E 1225.2+1317 | 2MASS J12274565+1300314 | 2MASX J12274565+1300309 | 2XMM J122745.6+130031 | [BEC2010] HRS 163 | [BFA97]  66 | [CAB95] IRAS F12252+1317 | [CHM2007] HDC  720 J122745.65+1300309 | [CHM2007] LDC  904 J122745.65+1300309 | [DC78] UGC  7574 | [DML87] 659 | [DSB94] 264 | [HSN2016] J186.94+13.00 | [LB2005] NGC  4438 X1 | [M98c] 122513.5+131711 | [NKB95] N4438 | [SMM2006b] J122745.57+130032.9 | [TT2002] Virgo  3 | [VDD93] 159 | [VV2000c] J122745.6+130032 | [VV2003c] J122745.6+130032 | [VV2006c] J122745.6+130032 | [VV2010c] J122745.6+130032 | [VV98c] J122745.6+130032 | [YOF95] 154 | ALFALFA 1-324 | APG 120 | BWE 1225+1316 | EQ 1225+132 | EVCC 673 | Gaia DR3 3907985352447565696 | GB6 B1225+1316 | GLEAM J122744+130020 | INTREF   499 | IRAS 12252+1317 | IRAS F12252+1317 | LEDA   40914 | MCG+02-32-065 | MITG J122745+1300 | NAME Eyes | NGC  4438 | NGVS J122745.65+130031.9 | NVSS B122513+131707 | PCCS1 545 G280.36+74.81 | PCCS1 857 G280.30+74.83 | PSCz Q12252+1317 | SDSS J122745.63+130031.7 | TGSSADR J122745.9+130031 | TIC 241268471 | UGC  7574 | UZC J122745.7+130032 | VCC 1043 | VPC  550 | VV  188 | WB 1225+1316 | WISE J122745.68+130031.8 | Z  70-97 | Z 1225.2+1317,186.94029396,13.0088078,,,,,,90.0,,,,,,,186.94029396,76.9911922,10.17,,other,SIMBAD,uncertain_or_missing_distance,simbad_named_star,0,"Gaia astrometry rejected: low SNR, RUWE > 1.4, duplicate, or non-positive parallax"
HIP 9724,,BD-18   359,5138510181584617856,9724,,,,** BEU    3A | 1RXS J020503.6-173717 | 2MASS J02050492-1736528 | [RHG95]   371 | BD-18   359 | CNS5 527 | G 272-148 | Gaia DR2 5138510181584617856 | Gaia DR3 5138510181584617856 | GCRV  1147 | GCRV 26206 | GEN# -0.01800359 | GJ 84 | GSC 05856-02250 | HIC   9724 | HIP 9724 | JP11   300 | L  727-32 | LEHPM 2164 | LFT  177 | LHS   149 | LPM  96 | LTT  1092 | NC  6 | NLTT  6957 | PLX  431 | PLX  431.00 | PM 02026-1751 | PM J02050-1736 | SBC9 1540 | TIC 257505374 | TYC 5856-2250-1 | UBV    2109 | UBV M   5503 | UCAC4 362-002344 | WDS J02051-1737A | WEB  2043 | WISEA J020505.82-173654.3 | Zkh  38,31.2703288,-17.61464875,107.2972,0.2307,465.094,1275.218,-169.701,23.34,9.319908,30.397473,24.763375,15.038809,-9.198688,30.397473,31.2703288,107.61464875,10.189,M2.5V,red_dwarf,SIMBAD,reliable_simbad_parallax,nearby_<=50ly,0,"Gaia astrometry rejected: low SNR, RUWE > 1.4, duplicate, or non-positive parallax; Gaia RUWE=15.138"
Ass Cyg OB,,Schulte  8C,2067784246289931776,,,,,** ARN   77C | 2MASS J20331798+4118311 | [AFM2007] 625 | [MM53] Cyg OB2  8C | [MT91] 483 | [R2011] IDOM 138 | [R2011] IDX 104 | ALS 11424 | CGO 604 | CXOCyg J203317.99+411830.9 | Gaia DR1 2067784241993521152 | Gaia DR2 2067784246289931776 | Gaia DR3 2067784246289931776 | GEN# +9.00030692 | GOS G080.23+00.78 01 | GSC 03161-01340 | JP11  5870 | LS III +41   38 | MCW  932 | NAME Ass Cyg OB | NAME Cyg OB2 8C | NAME VI Cyg 8C | RLP  692 | ROE  747 | Schulte  8C | TIC 17450158 | TYC 3161-1340-1 | WDS J20333+4119C,308.32490975,41.30864567,0.593184,0.012484,47.516,-2.631085,-4.399818,28.0568,1685.817118,5498.400047,2561.222213,-3240.172601,3629.576472,5498.400047,308.32490975,48.69135433,10.19,O4.5III(fc),giant_or_supergiant,Gaia DR3,reliable_gaia_parallax,simbad_named_star,0,Gaia RUWE=0.972
HIP 69454,,CD-56  5362,5895265380327966464,69454,,,,2MASS J14131288-5644314 | CD-56  5362 | CNS5 3506 | CPD-56  6199 | Gaia DR1 5895265375990344960 | Gaia DR2 5895265380327966464 | Gaia DR3 5895265380327966464 | GJ 2106 | HIC  69454 | HIP 69454 | LTT  5557 | NLTT 36550 | PM J14132-5644 | PPM 771219 | TIC 407559875 | TYC 8673-4534-1 | UCAC4 167-114493 | WISEA J141313.30-564429.5,213.30650651,-56.74126209,85.724004,0.018292,4686.312,354.013245,179.068543,52.7572,11.665344,38.047263,-17.438579,-11.457841,-31.815218,38.047263,213.30650651,146.74126209,10.191,M2V:,red_dwarf,Gaia DR3,reliable_gaia_parallax,nearby_<=50ly,0,Gaia RUWE=1.133
HD 281621,,HD 281621,170639948323693952,19337,281621,,,** RAO  192 | 2MASS J04083742+3338134 | [RHG95]   724 | ASCC  560833 | Ci 20  281 | CNS5 1028 | CSI+33-04054 | G  38-26 | G  39-2 | Gaia DR1 170639944023926912 | Gaia DR2 170639948323693952 | Gaia DR3 170639948323693952 | GEN# +6.10010162 | GEN# +9.80038026 | GJ 162 | HD 281621 | HIC  19337 | HIP 19337 | LFT  331 | LHS  1634 | LSPM J0408+3338 | LTT 11353 | NLTT 12612 | PLX  913 | PLX  913.00 | PM J04086+3338 | Ross  587 | StKM 2-335 | TIC 467729221 | TYC 2362-37-1 | UBV M  42929 | UCAC2  43575053 | UCAC4 619-013315 | USNO-B1.0 1236-00072911 | WDS J04086+3338AB | WISE J040837.82+333814.6 | WISEA J040837.83+333814.6,62.15864195,33.6375968,71.82206,0.018905,3799.112,526.873662,126.025974,34.2124,13.923299,45.411727,17.657233,33.431407,25.155281,45.411727,62.15864195,56.3624032,10.192,K7V,other_main_sequence,Gaia DR3,reliable_gaia_parallax,nearby_<=50ly,0,Gaia RUWE=1.039
